"GEO_ID","NAME","B01003_001M","B01003_001MA","B01003_001E","B01003_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"0500000US01001","Autauga County, Alabama","*****","*****","53155","null",
"0500000US01003","Baldwin County, Alabama","*****","*****","175791","null",
"0500000US01005","Barbour County, Alabama","*****","*****","27699","null",
"0500000US01007","Bibb County, Alabama","*****","*****","22610","null",
"0500000US01009","Blount County, Alabama","*****","*****","56692","null",
"0500000US01011","Bullock County, Alabama","*****","*****","10923","null",
"0500000US01013","Butler County, Alabama","*****","*****","20895","null",
"0500000US01015","Calhoun County, Alabama","*****","*****","117149","null",
"0500000US01017","Chambers County, Alabama","*****","*****","34579","null",
"0500000US01019","Cherokee County, Alabama","*****","*****","25700","null",
"0500000US01021","Chilton County, Alabama","*****","*****","43121","null",
"0500000US01023","Choctaw County, Alabama","*****","*****","14111","null",
"0500000US01025","Clarke County, Alabama","*****","*****","26255","null",
"0500000US01027","Clay County, Alabama","*****","*****","14040","null",
"0500000US01029","Cleburne County, Alabama","*****","*****","14823","null",
"0500000US01031","Coffee County, Alabama","*****","*****","48349","null",
"0500000US01033","Colbert County, Alabama","*****","*****","54446","null",
"0500000US01035","Conecuh County, Alabama","*****","*****","13382","null",
"0500000US01037","Coosa County, Alabama","*****","*****","11470","null",
"0500000US01039","Covington County, Alabama","*****","*****","37608","null",
"0500000US01041","Crenshaw County, Alabama","*****","*****","13928","null",
"0500000US01043","Cullman County, Alabama","*****","*****","79941","null",
"0500000US01045","Dale County, Alabama","*****","*****","49730","null",
"0500000US01047","Dallas County, Alabama","*****","*****","44066","null",
"0500000US01049","DeKalb County, Alabama","*****","*****","70038","null",
"0500000US01051","Elmore County, Alabama","*****","*****","77650","null",
"0500000US01053","Escambia County, Alabama","*****","*****","37996","null",
"0500000US01055","Etowah County, Alabama","*****","*****","104066","null",
"0500000US01057","Fayette County, Alabama","*****","*****","17472","null",
"0500000US01059","Franklin County, Alabama","*****","*****","31383","null",
"0500000US01061","Geneva County, Alabama","*****","*****","26541","null",
"0500000US01063","Greene County, Alabama","*****","*****","9255","null",
"0500000US01065","Hale County, Alabama","*****","*****","16168","null",
"0500000US01067","Henry County, Alabama","*****","*****","17148","null",
"0500000US01069","Houston County, Alabama","*****","*****","99029","null",
"0500000US01071","Jackson County, Alabama","*****","*****","53386","null",
"0500000US01073","Jefferson County, Alabama","*****","*****","656912","null",
"0500000US01075","Lamar County, Alabama","*****","*****","14743","null",
"0500000US01077","Lauderdale County, Alabama","*****","*****","91762","null",
"0500000US01079","Lawrence County, Alabama","*****","*****","34235","null",
"0500000US01081","Lee County, Alabama","*****","*****","135010","null",
"0500000US01083","Limestone County, Alabama","*****","*****","78614","null",
"0500000US01085","Lowndes County, Alabama","*****","*****","11731","null",
"0500000US01087","Macon County, Alabama","*****","*****","21699","null",
"0500000US01089","Madison County, Alabama","*****","*****","323080","null",
"0500000US01091","Marengo County, Alabama","*****","*****","21296","null",
"0500000US01093","Marion County, Alabama","*****","*****","30792","null",
"0500000US01095","Marshall County, Alabama","*****","*****","90867","null",
"0500000US01097","Mobile County, Alabama","*****","*****","408620","null",
"0500000US01099","Monroe County, Alabama","*****","*****","23329","null",
"0500000US01101","Montgomery County, Alabama","*****","*****","228018","null",
"0500000US01103","Morgan County, Alabama","*****","*****","117632","null",
"0500000US01105","Perry County, Alabama","*****","*****","10684","null",
"0500000US01107","Pickens County, Alabama","*****","*****","19917","null",
"0500000US01109","Pike County, Alabama","*****","*****","32147","null",
"0500000US01111","Randolph County, Alabama","*****","*****","22817","null",
"0500000US01113","Russell County, Alabama","*****","*****","51663","null",
"0500000US01115","St. Clair County, Alabama","*****","*****","80658","null",
"0500000US01117","Shelby County, Alabama","*****","*****","187880","null",
"0500000US01119","Sumter County, Alabama","*****","*****","13871","null",
"0500000US01121","Talladega County, Alabama","*****","*****","82347","null",
"0500000US01123","Tallapoosa County, Alabama","*****","*****","41534","null",
"0500000US01125","Tuscaloosa County, Alabama","*****","*****","188331","null",
"0500000US01127","Walker County, Alabama","*****","*****","67612","null",
"0500000US01129","Washington County, Alabama","*****","*****","17556","null",
"0500000US01131","Wilcox County, Alabama","*****","*****","12012","null",
"0500000US01133","Winston County, Alabama","*****","*****","24687","null",
"0500000US02013","Aleutians East Borough, Alaska","765","null","3703","null",
"0500000US02016","Aleutians West Census Area, Alaska","1006","null","6259","null",
"0500000US02020","Anchorage Municipality, Alaska","*****","*****","284267","null",
"0500000US02050","Bethel Census Area, Alaska","*****","*****","16838","null",
"0500000US02060","Bristol Bay Borough, Alaska","134","null","1049","null",
"0500000US02068","Denali Borough, Alaska","304","null","1144","null",
"0500000US02070","Dillingham Census Area, Alaska","*****","*****","4817","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","*****","*****","94439","null",
"0500000US02100","Haines Borough, Alaska","492","null","1658","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","196","null","2029","null",
"0500000US02110","Juneau City and Borough, Alaska","*****","*****","30975","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","*****","*****","53917","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","*****","*****","13396","null",
"0500000US02150","Kodiak Island Borough, Alaska","*****","*****","13349","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","153","null","1626","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","*****","*****","84147","null",
"0500000US02180","Nome Census Area, Alaska","*****","*****","9315","null",
"0500000US02185","North Slope Borough, Alaska","*****","*****","8852","null",
"0500000US02188","Northwest Arctic Borough, Alaska","*****","*****","7477","null",
"0500000US02195","Petersburg Census Area, Alaska","*****","*****","3841","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","*****","*****","5507","null",
"0500000US02220","Sitka City and Borough, Alaska","*****","*****","8894","null",
"0500000US02230","Skagway Municipality, Alaska","196","null","1140","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","*****","*****","6935","null",
"0500000US02261","Valdez-Cordova Census Area, Alaska","*****","*****","9606","null",
"0500000US02270","Wade Hampton Census Area, Alaska","*****","*****","7398","null",
"0500000US02275","Wrangell City and Borough, Alaska","*****","*****","2338","null",
"0500000US02282","Yakutat City and Borough, Alaska","113","null","638","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","*****","*****","5635","null",
"0500000US04001","Apache County, Arizona","*****","*****","70312","null",
"0500000US04003","Cochise County, Arizona","*****","*****","129268","null",
"0500000US04005","Coconino County, Arizona","*****","*****","131824","null",
"0500000US04007","Gila County, Arizona","*****","*****","53272","null",
"0500000US04009","Graham County, Arizona","*****","*****","36030","null",
"0500000US04011","Greenlee County, Arizona","*****","*****","8318","null",
"0500000US04012","La Paz County, Arizona","*****","*****","20549","null",
"0500000US04013","Maricopa County, Arizona","*****","*****","3751410","null",
"0500000US04015","Mohave County, Arizona","*****","*****","199177","null",
"0500000US04017","Navajo County, Arizona","*****","*****","107060","null",
"0500000US04019","Pima County, Arizona","*****","*****","964462","null",
"0500000US04021","Pinal County, Arizona","*****","*****","329297","null",
"0500000US04023","Santa Cruz County, Arizona","*****","*****","46051","null",
"0500000US04025","Yavapai County, Arizona","*****","*****","209260","null",
"0500000US04027","Yuma County, Arizona","*****","*****","190526","null",
"0500000US05001","Arkansas County, Arkansas","*****","*****","19321","null",
"0500000US05003","Ashley County, Arkansas","*****","*****","22126","null",
"0500000US05005","Baxter County, Arkansas","*****","*****","41388","null",
"0500000US05007","Benton County, Arkansas","*****","*****","209911","null",
"0500000US05009","Boone County, Arkansas","*****","*****","36710","null",
"0500000US05011","Bradley County, Arkansas","*****","*****","11638","null",
"0500000US05013","Calhoun County, Arkansas","*****","*****","5529","null",
"0500000US05015","Carroll County, Arkansas","*****","*****","26971","null",
"0500000US05017","Chicot County, Arkansas","*****","*****","12102","null",
"0500000US05019","Clark County, Arkansas","*****","*****","23083","null",
"0500000US05021","Clay County, Arkansas","*****","*****","16297","null",
"0500000US05023","Cleburne County, Arkansas","*****","*****","25692","null",
"0500000US05025","Cleveland County, Arkansas","*****","*****","8769","null",
"0500000US05027","Columbia County, Arkansas","*****","*****","24756","null",
"0500000US05029","Conway County, Arkansas","*****","*****","21059","null",
"0500000US05031","Craighead County, Arkansas","*****","*****","93329","null",
"0500000US05033","Crawford County, Arkansas","*****","*****","60778","null",
"0500000US05035","Crittenden County, Arkansas","*****","*****","50673","null",
"0500000US05037","Cross County, Arkansas","*****","*****","18144","null",
