"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US01001","Autauga County, Alabama","55639","*****","*****","null",
"0500000US01003","Baldwin County, Alabama","218289","*****","*****","null",
"0500000US01005","Barbour County, Alabama","25026","*****","*****","null",
"0500000US01007","Bibb County, Alabama","22374","*****","*****","null",
"0500000US01009","Blount County, Alabama","57755","*****","*****","null",
"0500000US01011","Bullock County, Alabama","10173","*****","*****","null",
"0500000US01013","Butler County, Alabama","19726","*****","*****","null",
"0500000US01015","Calhoun County, Alabama","114324","*****","*****","null",
"0500000US01017","Chambers County, Alabama","33427","*****","*****","null",
"0500000US01019","Cherokee County, Alabama","26035","*****","*****","null",
"0500000US01021","Chilton County, Alabama","44147","*****","*****","null",
"0500000US01023","Choctaw County, Alabama","12755","*****","*****","null",
"0500000US01025","Clarke County, Alabama","23866","*****","*****","null",
"0500000US01027","Clay County, Alabama","13285","*****","*****","null",
"0500000US01029","Cleburne County, Alabama","14952","*****","*****","null",
"0500000US01031","Coffee County, Alabama","52238","*****","*****","null",
"0500000US01033","Colbert County, Alabama","54957","*****","*****","null",
"0500000US01035","Conecuh County, Alabama","12219","*****","*****","null",
"0500000US01037","Coosa County, Alabama","10696","*****","*****","null",
"0500000US01039","Covington County, Alabama","37096","*****","*****","null",
"0500000US01041","Crenshaw County, Alabama","13826","*****","*****","null",
"0500000US01043","Cullman County, Alabama","83345","*****","*****","null",
"0500000US01045","Dale County, Alabama","49293","*****","*****","null",
"0500000US01047","Dallas County, Alabama","38184","*****","*****","null",
"0500000US01049","DeKalb County, Alabama","71430","*****","*****","null",
"0500000US01051","Elmore County, Alabama","81526","*****","*****","null",
"0500000US01053","Escambia County, Alabama","36775","*****","*****","null",
"0500000US01055","Etowah County, Alabama","102721","*****","*****","null",
"0500000US01057","Fayette County, Alabama","16406","*****","*****","null",
"0500000US01059","Franklin County, Alabama","31587","*****","*****","null",
"0500000US01061","Geneva County, Alabama","26383","*****","*****","null",
"0500000US01063","Greene County, Alabama","8221","*****","*****","null",
"0500000US01065","Hale County, Alabama","14754","*****","*****","null",
"0500000US01067","Henry County, Alabama","17123","*****","*****","null",
"0500000US01069","Houston County, Alabama","105319","*****","*****","null",
"0500000US01071","Jackson County, Alabama","51765","*****","*****","null",
"0500000US01073","Jefferson County, Alabama","658615","265","null","null",
"0500000US01075","Lamar County, Alabama","13854","*****","*****","null",
"0500000US01077","Lauderdale County, Alabama","92870","*****","*****","null",
"0500000US01079","Lawrence County, Alabama","32969","*****","*****","null",
"0500000US01081","Lee County, Alabama","163461","*****","*****","null",
"0500000US01083","Limestone County, Alabama","96921","*****","*****","null",
"0500000US01085","Lowndes County, Alabama","9936","*****","*****","null",
"0500000US01087","Macon County, Alabama","18437","*****","*****","null",
"0500000US01089","Madison County, Alabama","367686","*****","*****","null",
"0500000US01091","Marengo County, Alabama","19138","*****","*****","null",
"0500000US01093","Marion County, Alabama","29818","*****","*****","null",
"0500000US01095","Marshall County, Alabama","96137","*****","*****","null",
"0500000US01097","Mobile County, Alabama","413977","*****","*****","null",
"0500000US01099","Monroe County, Alabama","21006","*****","*****","null",
"0500000US01101","Montgomery County, Alabama","226451","*****","*****","null",
"0500000US01103","Morgan County, Alabama","119352","*****","*****","null",
"0500000US01105","Perry County, Alabama","9104","*****","*****","null",
"0500000US01107","Pickens County, Alabama","20049","*****","*****","null",
"0500000US01109","Pike County, Alabama","33274","*****","*****","null",
"0500000US01111","Randolph County, Alabama","22732","*****","*****","null",
"0500000US01113","Russell County, Alabama","57938","*****","*****","null",
"0500000US01115","St. Clair County, Alabama","88929","*****","*****","null",
"0500000US01117","Shelby County, Alabama","216350","265","null","null",
